[報牌] 享受輸的感覺539, 7, Tue Apr 30 19:38:59 2024
[報牌] 虎斑法鬥 39 二合, 0, Wed May  1 15:02:29 2024
[報牌] 享受輸的感覺539, 10, Wed May  1 18:31:54 2024
[討論] 2024.04.30 開獎結果, 5, Thu May  2 10:41:18 2024
[討論] 2024.05.01 開獎結果, 2, Thu May  2 10:45:11 2024
[報牌] 享受輸的感覺539, 9, Thu May  2 18:37:39 2024
[報牌] 虎斑法鬥 39 二合, 0, Thu May  2 18:52:09 2024
[報牌] 使用AI大型語言模型gemini預測539, 1, Thu May  2 18:53:22 2024
[報牌] 虎斑法鬥 39 二合, 0, Fri May  3 13:20:55 2024
[報牌] 高雄539, 0, Fri May  3 16:43:38 2024
[報牌] 神曲樂合及三四星, 0, Fri May  3 18:27:17 2024
[報牌] 享受輸的感覺539, 4, Fri May  3 18:43:01 2024
[報牌] 三星彩, 1, Fri May  3 19:34:34 2024
[公告] 樂透版版規 2016.08.21, 4, Sun Aug 21 23:14:10 2016
Re: [閒聊] 刮刮樂機率分析彙整, 1, Wed Feb 21 23:20:51 2024
[報牌] 享受輸的感覺539, 9, Wed Apr 24 18:01:18 2024
[討論] 2024.04.24 開獎結果 五三九 9注, 11, Thu Apr 25 09:52:39 2024
[報牌] 享受輸的感覺539, 4, Thu Apr 25 18:47:37 2024
[報牌] 虎斑法鬥 39 二合, 0, Thu Apr 25 19:29:19 2024
[討論] 2024.04.25 開獎結果, 6, Thu Apr 25 22:24:19 2024
[報牌] 虎斑法鬥 39 二合, 0, Fri Apr 26 14:45:33 2024
[閒聊] 算命方式徵求幾位版友, 0, Fri Apr 26 15:44:27 2024
[報牌] 高雄539, 0, Fri Apr 26 17:45:44 2024
[報牌] 享受輸的感覺539, 6, Fri Apr 26 17:50:41 2024
[討論] 2024.04.26 開獎結果, 3, Sat Apr 27 08:36:13 2024
[報牌] 享受凌晨兩點的快感539, 10, Sat Apr 27 17:49:01 2024
[討論] 2024.04.27 開獎結果, 3, Sat Apr 27 22:32:29 2024
[報牌] 享壽輸的感覺539, 6, Mon Apr 29 17:56:52 2024
[報牌] 老朋友539, 1, Mon Apr 29 18:44:59 2024
[報牌] 虎斑法鬥 39 二合, 0, Mon Apr 29 19:13:50 2024
[真相] 溫馨三合快選, 5, Mon Apr 29 21:50:47 2024
[討論] 2024.04.29 開獎結果, 5, Mon Apr 29 22:33:57 2024
[報牌] 使用AI大型語言模型gemini預測539, 7, Tue Apr 30 12:14:09 2024
[報牌] 神曲樂合及三四星, 3, Tue Apr 30 19:25:01 2024
[報牌] 享受輸的感覺539, 4, Fri Apr 19 12:38:29 2024
[報牌] 虎斑法鬥 39 二合, 0, Fri Apr 19 13:45:47 2024
[報牌] 39樂合, 0, Fri Apr 19 17:13:25 2024
[討論] 2024.04.19 開獎結果, 3, Sat Apr 20 09:44:25 2024
[報牌] 高雄539, 0, Sat Apr 20 15:17:50 2024
[報牌] 虎斑法鬥 39 二合, 0, Sat Apr 20 17:23:38 2024
[報牌] 享受輸的感覺539, 2, Sat Apr 20 18:06:27 2024
[真相] 可惜了, 11, Sat Apr 20 21:37:28 2024
[報牌] 虎斑法鬥 39 二合, 0, Mon Apr 22 06:26:52 2024
[討論] 2024.04.20 開獎結果, 1, Mon Apr 22 08:50:18 2024
[問題] 頭獎商店哪邊查？, 1, Mon Apr 22 09:54:32 2024
[報牌] 39樂合及三四星, 0, Mon Apr 22 18:33:03 2024
[報牌] 539, 2, Mon Apr 22 18:44:47 2024
[報牌] 享受地震的快感539, 4, Mon Apr 22 19:02:01 2024
Re: [真相] 可惜了, 3, Mon Apr 22 20:49:03 2024
[報牌] 享受輸的感覺539, 10, Tue Apr 23 18:03:46 2024
[真相] 49 2合, 6, Tue Apr 23 20:49:35 2024
[討論] 2024.04.22 開獎結果, 3, Tue Apr 23 22:14:12 2024
[討論] 2024.04.23 開獎結果, 8, Tue Apr 23 22:25:11 2024
[報牌] 虎斑法鬥 39 二合, 0, Wed Apr 24 13:36:34 2024
